surveyid,variable,varname,description,classification,question,responses,values
messi_can_may_2024,conscience,conscience,conscience conflict at work agreement,job quality,Here are some statements that might or might not describe your main job. Please indicate whether you strongly agree agree disagree or strongly disagree with each statement. On my job I have to do some things that really go against my conscience.,"Strongly Agree, Agree, Disagree, Strongly Disagree, Can’t choose, Prefer not to say","1, 2, 3, 4, 5, 6"
messi_can_may_2024,workimpt,workimpt,work over money importance agreement,work attitudes,Here are some statements that might or might not describe your main job. Please indicate whether you strongly agree agree disagree or strongly disagree with each statement. What I do at work is more important to me than the money I earn.,"Strongly Agree, Agree, Disagree, Strongly Disagree, Can’t choose, Prefer not to say","1, 2, 3, 4, 5, 6"
messi_can_may_2024,jobset3col2,toomuch,i have too much work to do everything well.,job quality,Here are some statements that might or might not describe your main job. Please indicate whether you strongly agree agree disagree or strongly disagree with each statement... I have too much work to do everything well.,"Strongly Agree, Agree, Disagree, Strongly Disagree, Can’t choose, Prefer not to say","1, 2, 3, 4, 5, 6"
messi_can_may_2024,jobset3col6,notime,i never seem to have enough time to get everything done on my job.,job quality,Here are some statements that might or might not describe your main job. Please indicate whether you strongly agree agree disagree or strongly disagree with each statement... I never seem to have enough time to get everything done on my job.,"Strongly Agree, Agree, Disagree, Strongly Disagree, Can’t choose, Prefer not to say","1, 2, 3, 4, 5, 6"
messi_us_apr_2025,deserve,deserve,credit blame attribution agreement,work attitudes,"Here are some statements that might or might not describe your main job. Please indicate whether you strongly agree, agree, disagree, or strongly disagree with each statement. I deserve all the credit or blame for how well I am doing in my work.","Strongly Agree, Agree, Disagree, Strongly Disagree, Can’t choose, Prefer not to say","0, 1, 2, 3"
messi_us_jun_2024,q40,learn,my job requires that i keep learning new things.,job quality,"Here are some statements that might or might not describe your main job. Please indicate whether you strongly agree, agree, disagree, or strongly disagree with each statement. My job requires that I keep learning new things.","Strongly agree, Agree, Disagree, Strongly disagree, Can't choose, Prefer not to say","0, 1, 2, 3"
messi_can_apr_2025,expected,expected,role clarity agreement,job quality,"Here are some statements that might or might not describe your main job. Please indicate whether you strongly agree, agree, disagree, or strongly disagree with each statement. On my job, I know exactly what is expected of me.","strongly disagree, disagree, agree, strongly agree","0, 1, 2, 3"
messi_us_apr_2025,expected,expected,role clarity agreement,job quality,"Here are some statements that might or might not describe your main job. Please indicate whether you strongly agree, agree, disagree, or strongly disagree with each statement. On my job, I know exactly what is expected of me.","Strongly Agree, Agree, Disagree, Strongly Disagree, Can’t choose, Prefer not to say","0, 1, 2, 3"
messi_us_apr_2025,relied,relied,coworker reliability agreement,job quality,"Here are some statements that might or might not describe your main job. Please indicate whether you strongly agree, agree, disagree, or strongly disagree with each statement. The people I work with can be relied on when I need help.","Not applicable- I work alone/I don’t work with any other people, Very true, Somewhat true, Not too true, Not at all true, Can’t choose, Prefer not to say","0, 1, 2, 3"
qes_can_mar_2023,jobset3col5,skills,my job allows me to develop my skills and abilities.,job quality,"Here are some statements that might or might not describe your main job. Please indicate whether you strongly agree, agree, disagree, or strongly disagree with each statement... My job lets me use my skills and abilities","Strongly Agree, Agree , Disagree , Strongly Disagree , Can’t choose, Prefer not to say","0, 1, 2, 3"
qes_us_feb_2023,jobset3col5,skills,my job allows me to develop my skills and abilities.,job quality,"Here are some statements that might or might not describe your main job. Please indicate whether you strongly agree, agree, disagree, or strongly disagree with each statement... My job lets me use my skills and abilities","Strongly Agree, Agree, Disagree, Strongly Disagree, Can’t choose, Prefer not to say","1, 2, 3, 4, 5, 6"
qes_us_jan_2022,jobset3col4,expect,"on my job, i know exactly what is expected of me.",job quality,"Here are some statements that might or might not describe your main job. Please indicate whether you strongly agree, agree, disagree, or strongly disagree with each statement... On my job, I know exactly what is expected of me.","Strongly Agree, Agree, Disagree, Strongly Disagree, Can’t choose, Prefer not to say","1, 2, 3, 4, 5, 6"
qes_can_mar_2023,jobset3col6,respect,"at the place where i work, i am treated with respect.",job quality,"Here are some statements that might or might not describe your main job. Please indicate whether you strongly agree, agree, disagree, or strongly disagree with each statement... At the place where i work, i am treated with respect","Strongly Agree, Agree , Disagree , Strongly Disagree , Can’t choose, Prefer not to say","0, 1, 2, 3"
qes_can_mar_2023,jobset3col10,productive,conditions on my job allow me to be about as productive as i could be. jobset3c,job quality,"Here are some statements that might or might not describe your main job. Please indicate whether you strongly agree, agree, disagree, or strongly disagree with each statement... Conditions on my job allow me to be about as productive as i could be. jobset3c","Strongly Agree, Agree , Disagree , Strongly Disagree , Can’t choose, Prefer not to say","0, 1, 2, 3"
qes_us_feb_2023,jobset3col6,respect,"at the place where i work, i am treated with respect.",job quality,"Here are some statements that might or might not describe your main job. Please indicate whether you strongly agree, agree, disagree, or strongly disagree with each statement... At the place where i work, i am treated with respect","Strongly Agree, Agree, Disagree, Strongly Disagree, Can’t choose, Prefer not to say","1, 2, 3, 4, 5, 6"
qes_us_feb_2023,jobset3col10,productive,conditions on my job allow me to be about as productive as i could be. jobset3c,job quality,"Here are some statements that might or might not describe your main job. Please indicate whether you strongly agree, agree, disagree, or strongly disagree with each statement... Conditions on my job allow me to be about as productive as i could be. jobset3c","Strongly Agree, Agree, Disagree, Strongly Disagree, Can’t choose, Prefer not to say","1, 2, 3, 4, 5, 6"
qes_us_jan_2022,jobset3col7,meaningful,the work i do on my job is meaningful to me.,job quality,"Here are some statements that might or might not describe your main job. Please indicate whether you strongly agree, agree, disagree, or strongly disagree with each statement... The work I do on my job is meaningful to me.","Strongly Agree, Agree, Disagree, Strongly Disagree, Can’t choose, Prefer not to say","1, 2, 3, 4, 5, 6"
qes_us_jan_2022,jobset3col10,productive,conditions on my job allow me to be about as productive as i could be. jobset3c,job quality,"Here are some statements that might or might not describe your main job. Please indicate whether you strongly agree, agree, disagree, or strongly disagree with each statement... Conditions on my job allow me to be about as productive as I could be.","Strongly Agree, Agree, Disagree, Strongly Disagree, Can’t choose, Prefer not to say","1, 2, 3, 4, 5, 6"
messi_can_apr_2025,jobset3col1,variety,i get to do a lot of different things on my job.,job quality,"Here are some statements that might or might not describe your main job. Please indicate whether you strongly agree, agree, disagree, or strongly disagree with each statement... I get to do a number of different things on my job.","strongly agree, agree, disagree, strongly disagree","0, 1, 2, 3"
qes_us_jan_2022,jobset3col2,variety,i get to do a lot of different things on my job.,job quality,"Here are some statements that might or might not describe your main job. Please indicate whether you strongly agree, agree, disagree, or strongly disagree with each statement... I get to do a number of different things on my job.","Strongly Agree, Agree, Disagree, Strongly Disagree, Can’t choose, Prefer not to say","1, 2, 3, 4, 5, 6"
messi_can_apr_2025,jobset3col2,toomuch,i have too much work to do everything well.,job quality,"Here are some statements that might or might not describe your main job. Please indicate whether you strongly agree, agree, disagree, or strongly disagree with each statement... I have too much work to do everything well.","strongly agree, agree, disagree, strongly disagree","0, 1, 2, 3"
qes_can_mar_2023,jobset3col2,variety,i get to do a lot of different things on my job.,job quality,"Here are some statements that might or might not describe your main job. Please indicate whether you strongly agree, agree, disagree, or strongly disagree with each statement... I get to do a number of different things on my job","Strongly Agree, Agree , Disagree , Strongly Disagree , Can’t choose, Prefer not to say","0, 1, 2, 3"
qes_us_feb_2023,jobset3col2,variety,i get to do a lot of different things on my job.,job quality,"Here are some statements that might or might not describe your main job. Please indicate whether you strongly agree, agree, disagree, or strongly disagree with each statement... I get to do a number of different things on my job","Strongly Agree, Agree, Disagree, Strongly Disagree, Can’t choose, Prefer not to say","1, 2, 3, 4, 5, 6"
qes_us_jan_2022,jobset3col3,toomuch,i have too much work to do everything well.,job quality,"Here are some statements that might or might not describe your main job. Please indicate whether you strongly agree, agree, disagree, or strongly disagree with each statement... I have too much work to do everything well.","Strongly Agree, Agree, Disagree, Strongly Disagree, Can’t choose, Prefer not to say","1, 2, 3, 4, 5, 6"
messi_can_apr_2025,jobset3col6,notime,i never seem to have enough time to get everything done on my job.,job quality,"Here are some statements that might or might not describe your main job. Please indicate whether you strongly agree, agree, disagree, or strongly disagree with each statement... I never seem to have enough time to get everything done on my job.","strongly agree, agree, disagree, strongly disagree","0, 1, 2, 3"
messi_can_apr_2025,jobset3col3,skills,my job allows me to develop my skills and abilities.,job quality,"Here are some statements that might or might not describe your main job. Please indicate whether you strongly agree, agree, disagree, or strongly disagree with each statement... My job lets me use my skills and abilities.","strongly agree, agree, disagree, strongly disagree","0, 1, 2, 3"
qes_can_mar_2023,jobset3col4,expect,"on my job, i know exactly what is expected of me.",job quality,"Here are some statements that might or might not describe your main job. Please indicate whether you strongly agree, agree, disagree, or strongly disagree with each statement... On my job, i know exactly what is expected of me","Strongly Agree, Agree , Disagree , Strongly Disagree , Can’t choose, Prefer not to say","0, 1, 2, 3"
qes_us_feb_2023,jobset3col4,expect,"on my job, i know exactly what is expected of me.",job quality,"Here are some statements that might or might not describe your main job. Please indicate whether you strongly agree, agree, disagree, or strongly disagree with each statement... On my job, i know exactly what is expected of me","Strongly Agree, Agree, Disagree, Strongly Disagree, Can’t choose, Prefer not to say","1, 2, 3, 4, 5, 6"
messi_can_apr_2025,jobset3col5,creative,my job requires that i be creative.,job quality,"Here are some statements that might or might not describe your main job. Please indicate whether you strongly agree, agree, disagree, or strongly disagree with each statement... My job requires that I be creative.","strongly agree, agree, disagree, strongly disagree","0, 1, 2, 3"
qes_us_jan_2022,jobset3col1,fastjob,my job requires that i work very fast.,job quality,"Here are some statements that might or might not describe your main job. Please indicate whether you strongly agree, agree, disagree, or strongly disagree with each statement... My job requires that I work very fast.","Strongly Agree, Agree, Disagree, Strongly Disagree, Can’t choose, Prefer not to say","1, 2, 3, 4, 5, 6"
qes_can_mar_2023,jobset3col14,wrkearn3,work as earning variant three,work attitudes,"Here are some statements that might or might not describe your main job. Please indicate whether you strongly agree, agree, disagree, or strongly disagree with each statement... Work as earning variant three","Strongly Agree, Agree , Disagree , Strongly Disagree , Can’t choose, Prefer not to say","0, 1, 2, 3"
qes_us_feb_2023,jobset3col14,wrkearn3,work as earning variant three,work attitudes,"Here are some statements that might or might not describe your main job. Please indicate whether you strongly agree, agree, disagree, or strongly disagree with each statement... Work as earning variant three","Strongly Agree, Agree, Disagree, Strongly Disagree, Can’t choose, Prefer not to say","1, 2, 3, 4, 5, 6"
qes_us_jan_2022,jobset3col6,respect,"at the place where i work, i am treated with respect.",job quality,"Here are some statements that might or might not describe your main job. Please indicate whether you strongly agree, agree, disagree, or strongly disagree with each statement... At the place where I work, I am treated with respect.","Strongly Agree, Agree, Disagree, Strongly Disagree, Can’t choose, Prefer not to say","1, 2, 3, 4, 5, 6"
qes_us_jan_2022,jobset3col5,skills,my job allows me to develop my skills and abilities.,job quality,"Here are some statements that might or might not describe your main job. Please indicate whether you strongly agree, agree, disagree, or strongly disagree with each statement... My job lets me use my skills and abilities.","Strongly Agree, Agree, Disagree, Strongly Disagree, Can’t choose, Prefer not to say","1, 2, 3, 4, 5, 6"
messi_us_apr_2025,jobset3col2,toomuch,i have too much work to do everything well.,job quality,"Here are some statements that might or might not describe your main job. Please indicate whether you strongly agree, agree, disagree, or strongly disagree with each statement... I have too much work to do everything well.","Strongly Agree, Agree, Disagree, Strongly Disagree, Can’t choose, Prefer not to say","0, 1, 2, 3"
qes_can_mar_2023,jobset3col3,toomuch,i have too much work to do everything well.,job quality,"Here are some statements that might or might not describe your main job. Please indicate whether you strongly agree, agree, disagree, or strongly disagree with each statement... I have too much work to do everything well","Strongly Agree, Agree , Disagree , Strongly Disagree , Can’t choose, Prefer not to say","0, 1, 2, 3"
qes_us_feb_2023,jobset3col3,toomuch,i have too much work to do everything well.,job quality,"Here are some statements that might or might not describe your main job. Please indicate whether you strongly agree, agree, disagree, or strongly disagree with each statement... I have too much work to do everything well","Strongly Agree, Agree, Disagree, Strongly Disagree, Can’t choose, Prefer not to say","1, 2, 3, 4, 5, 6"
qes_us_jan_2022,jobset3col11,smooth,smooth and effective workplace,job quality,"Here are some statements that might or might not describe your main job. Please indicate whether you strongly agree, agree, disagree, or strongly disagree with each statement... The place where I work is run in a smooth and effective manner.","Strongly Agree, Agree, Disagree, Strongly Disagree, Can’t choose, Prefer not to say","1, 2, 3, 4, 5, 6"
qes_us_jan_2022,jobset3col12,safework,safe and healthy work conditions,job quality,"Here are some statements that might or might not describe your main job. Please indicate whether you strongly agree, agree, disagree, or strongly disagree with each statement... The safety and health conditions where I work are good.","Strongly Agree, Agree, Disagree, Strongly Disagree, Can’t choose, Prefer not to say","1, 2, 3, 4, 5, 6"
qes_us_jan_2022,jobset3col8,recognition,my work gives me an opportunity to get recognition from others,job quality,"Here are some statements that might or might not describe your main job. Please indicate whether you strongly agree, agree, disagree, or strongly disagree with each statement... My work gives me an opportunity to get recognition from others.","Strongly Agree, Agree, Disagree, Strongly Disagree, Can’t choose, Prefer not to say","1, 2, 3, 4, 5, 6"
qes_us_jan_2022,jobset3col9,mainsat,my main satisfaction in life comes from work,job quality,"Here are some statements that might or might not describe your main job. Please indicate whether you strongly agree, agree, disagree, or strongly disagree with each statement... My main satisfaction in life comes from work.","Strongly Agree, Agree, Disagree, Strongly Disagree, Can’t choose, Prefer not to say","1, 2, 3, 4, 5, 6"
qes_can_mar_2023,jobset3col13,wrkearn1,work more important than money,work attitudes,"Here are some statements that might or might not describe your main job. Please indicate whether you strongly agree, agree, disagree, or strongly disagree with each statement... What I do at work is more important to me than the money I earn.","Strongly Agree, Agree , Disagree , Strongly Disagree , Can’t choose, Prefer not to say","0, 1, 2, 3"
qes_us_feb_2023,jobset3col13,wrkearn1,work more important than money,work attitudes,"Here are some statements that might or might not describe your main job. Please indicate whether you strongly agree, agree, disagree, or strongly disagree with each statement... What I do at work is more important to me than the money I earn.","Strongly Agree, Agree, Disagree, Strongly Disagree, Can’t choose, Prefer not to say","1, 2, 3, 4, 5, 6"
cqwels_long_oct_2021,gnewself,gnewself,layoff sense of control impact,job quality,How did being laid off affect your sense of control?,", a lot of anxiety about finances, especial with both earners unemployed., aucunement, badly, didn't, i knew it was coming. i just thought i would have something lined up already, but it didn't happen., expected it since it's low season for tourism. qualified for ei so i didn't feel too stressed., giving control never feels good, hopeless, horrible, i didn't have much of that to begin with, but i certainly had less after., i feel a lot less certain about my future. i still have control over myself and my future but there are additional barriers to get to where i want to be., i feel betrayed by my employer., i feel it has allowed me to take more control of what i want to do next., i feel like i've lost a lot of control and don't exactly how to get it back, i felt esterely stressed about not having an income., i knew it was coming because it was a contract with a specific end date. so i wouldn't say it affected my sense of control in particular., i was very stressed out and directionless due to being let go, i had moved out for the job so at that point i was just living in this unfamiliar town where i had no job and had no idea what to do next., i worked in lytton, the town was burnt in late june, that was traumatic, i've been laid off before and i was able to bounce back because of contacts and reputation, but i now can't get an interview because they say i should be retired., increasedfrustration and leaving me starved for creative outlet i can physically accommodate, it didnt really, as i already knew upfront that the job was temporary & would eventually end. i felt good knowing that i worked full time for 6 months & then was able to add another great reference to my resume. so i felt actually fully in control upon leaving., it sucks. and it's hard to feel in control when i've been applying for jobs i'm over qualified for and they keep telling me they love me but i don't have enough experience/is normally be perfect for the job but in this current market a lot of former professors/phds are applying to these starting positions with 10 years of experience. starting to feel like a lie, it was a relief. i felt more in control of my time. it was a ver poorly run company., less income meant less control., lost all control, lost all sense of control, felt useless, lowered self esteem, made me angry that one person with an attitude slammed door on low people on totem pole yet gets to keep his job. and is the shining face of the company but slashes people behind the scenes., made me feel way more in control of my life. i get laid off every winter and i can't wait to get laid off every year. it allows me to take back my life and work on things i actually want to do. it also allows me to pursue other income streams and work on self improvement and training., none, none. this is my typical seasonal close. normally i have a contract position waiting for me for over the winter. that business went under last year so i am currently looking for a winter gig., not at all., not good, not much after the initially shock wore off., seasonal, had no control, terribly as income was crippled, when you are laid off at my age you figure you will never work again, was relieved because job was too stressful for me., yes, hard to articulate, had health issues shortly afterwards which curtailed all activities for a few months.... therefore, the health issue rather than the loss of work affected me more., hurt, no, well, was lost in what i would do. searching through jobs and finding something that paid better than minimum wage is always a loss of control., wondered how to pay the bills","0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43"
cqwels_tlc_oct_2025,ggetahead,notworking_getahead_open,job exit advancement impact open text,job quality,How did stopping work affect your experience of getting ahead in life? Please provide a specific example if possible.,"Not sure, Prefer not to say","0, 1"
cqwels_tlc_sep_2024,ggetahead,notworking_getahead_open,job exit advancement impact open text,job quality,How did stopping work affect your experience of getting ahead in life? Please provide a specific example if possible.,"Not sure, Prefer not to say","0, 1"
messi_us_jun_2024,q34,jobimpt_guess,others job importance guess,work attitudes,How do you think most American workers would answer this question... How much do you agree or disagree that the most important things that happen to you involve your job? (Even if youre unsure were interested in your best guess.) Most American workers would probably say...,"Strongly agree, Agree, Neither agree nor disagree, Disagree, Strongly disagree","1, 2, 3, 4, 5"
messi_can_may_2024,manvsempguess,manvsemp_guess,others management relations guess,job quality,How do you think most American workers would describe the relations between management and employees in their workplace? (Even if you're unsure we're interested in your best guess.),"Quite good, Neither good nor bad, Quite bad, Very bad","1, 2, 3, 4"
messi_us_nov_2023,q64,manvsemp_guess,others management relations guess,job quality,How do you think most American workers would describe the relations between management and employees in their workplace? (Even if you're unsure we're interested in your best guess.),"Very good, Quite good, Neither good nor bad, Quite bad, Very bad","1, 2, 3, 4, 5"
messi_us_apr_2025,wrkearnguessa,wrkearnguess_a,perceived work earning agreement version a,work attitudes,"How do you think most American workers would respond to this statement... ""A job is just a way of earning money - no more."" (Even if you're unsure, we're interested in your best guess.)","Strongly agree, Agree, Neither agree nor disagree, Disagree, Strongly disagree","0, 1, 2, 3, 4"
messi_us_apr_2025,wrkearnguessb,wrkearn_guess_b,perceived work earning agreement version b,work attitudes,"How do you think most American workers would respond to this statement... ""A job is just a way of earning money - no more."" (Even if you're unsure, we're interested in your best guess.)","Strongly agree, Agree, Neither agree nor disagree, Disagree, Strongly disagree","0, 1, 2, 3, 4"
messi_us_nov_2023,q2,wrkearn_guess,others work as earning guess,work attitudes,"How do you think most American workers would respond to this statement... ""A job is just a way of earning money---no more."" (Even if you're unsure we're interested in your best guess.)","Strongly agree, Agree, Neither agree nor disagree, Disagree, Strongly disagree","1, 2, 3, 4, 5"
messi_us_apr_2025,meaninglessguessa,meaningless_guess_a,perceived work meaningless agreement version a,work attitudes,"How do you think most American workers would respond to this statement... ""I feel that most of the things I do on my job are meaningless."" (Even if you're unsure, we're interested in your best guess.)","Strongly agree, Agree, Disagree, Strongly disagree","0, 1, 2, 3"
messi_us_apr_2025,meaninglessguessb,meaningless_guess_b,others work meaninglessness guess,work attitudes,"How do you think most American workers would respond to this statement... ""I feel that most of the things I do on my job are meaningless."" (Even if you're unsure, we're interested in your best guess.)","Strongly agree, Agree, Disagree, Strongly disagree","0, 1, 2, 3"
messi_us_nov_2023,q6,verymeaning_guess,others work meaningful guess,work attitudes,"How do you think most American workers would respond to this statement... ""I find my work to be very meaningful."" (Even if you're unsure we're interested in your best guess.)","Strongly agree, Agree, Disagree, Strongly disagree","1, 2, 3, 4"
messi_us_apr_2025,meaningfulguessa,meaning_guess_a,perceived work meaning agreement version a,work attitudes,"How do you think most American workers would respond to this statement... ""I find my work to be very meaningful."" (Even if you're unsure, we're interested in your best guess.)","Strongly agree, Agree, Disagree, Strongly disagree","0, 1, 2, 3"
messi_us_apr_2025,meaningfulguessb,meaning_guess_b,others work meaningfulness guess,work attitudes,"How do you think most American workers would respond to this statement... ""I find my work to be very meaningful."" (Even if you're unsure, we're interested in your best guess.)","Strongly agree, Agree, Disagree, Strongly disagree","0, 1, 2, 3"
messi_us_nov_2023,q8,happier_guess,others happier without work guess,work attitudes,"How do you think most American workers would respond to this statement... ""I'd be happier if I didn't have to work at all."" (Even if you're unsure we're interested in your best guess.)","Strongly agree, Agree, Disagree, Strongly disagree","1, 2, 3, 4"
messi_us_jun_2024,q47,turnover_guess,others turnover intention guess,job quality,"How do you think most American workers would respond to this statement... How likely is it you will make a genuine effort to find a new job with another employer within the next year? (Even if youre unsure, were interested in your best guess.) Most American workers would probably say...","Very likely, Somewhat likely, Not at all likely","1, 2, 3"
messi_us_jun_2024,q24,meaningless_guess,others job meaninglessness guess,work attitudes,How do you think most American workers would respond to this statement... I feel that most of the things I do on my job are meaningless. (Even if youre unsure were interested in your best guess.),"Strongly agree, Agree, Disagree, Strongly disagree","1, 2, 3, 4"
messi_us_jun_2024,q49,secure_guess,others job security guess,job quality,How do you think most American workers would respond to this statement... My job is secure. (Even if youre unsure were interested in your best guess.) Most American workers would probably say...,"Strongly agree, Agree, Neither agree nor disagree, Disagree, Strongly disagree","1, 2, 3, 4, 5"
messi_us_jun_2024,q36,mainsat_guess,others main satisfaction guess,work attitudes,How do you think most American workers would respond to this statement... My main satisfaction in life comes from work. (Even if youre unsure were interested in your best guess.) Most American workers would probably say...,"Strongly agree, Agree, Disagree, Strongly disagree","1, 2, 3, 4"
messi_us_jun_2024,q22,meaning_guess,others work meaningfulness guess,work attitudes,How do you think most American workers would respond to this statement... The work I do on my job is meaningful to me. (Even if youre unsure were interested in your best guess.) Most American workers would probably say...,"Strongly agree, Agree, Disagree, Strongly disagree","1, 2, 3, 4"
messi_can_apr_2025,wrkearnguessa,wrkearnguess_a,perceived work earning agreement version a,work attitudes,"How do you think most Canadian workers would respond to this statement... ""A job is just a way of earning money - no more."" (Even if you're unsure, we're interested in your best guess.)","strongly agree, agree, neither agree nor disagree, disagree, strongly disagree","0, 1, 2, 3, 4"
messi_can_apr_2025,wrkearnguessb,wrkearn_guess_b,perceived work earning agreement version b,work attitudes,"How do you think most Canadian workers would respond to this statement... ""A job is just a way of earning money - no more."" (Even if you're unsure, we're interested in your best guess.)","strongly agree, agree, neither agree nor disagree, disagree, strongly disagree","0, 1, 2, 3, 4"
messi_can_may_2024,wrkearnguessa,wrkearnguess_a,perceived work earning agreement version a,work attitudes,"How do you think most Canadian workers would respond to this statement... ""A job is just a way of earning money - no more."" (Even if you're unsure, we're interested in your best guess.)","Strongly agree, Agree, Neither agree nor disagree, Disagree, Strongly disagree","0, 1, 2, 3, 4"
messi_can_may_2024,wrkearnguessb,wrkearn_guess_b,perceived work earning agreement version b,work attitudes,"How do you think most Canadian workers would respond to this statement... ""A job is just a way of earning money - no more."" (Even if you're unsure, we're interested in your best guess.)","Strongly agree, Agree, Neither agree nor disagree, Disagree, Strongly disagree","0, 1, 2, 3, 4"
messi_can_apr_2025,meaninglessguessa,meaningless_guess_a,perceived work meaningless agreement version a,work attitudes,"How do you think most Canadian workers would respond to this statement... ""I feel that most of the things I do on my job are meaningless."" (Even if you're unsure, we're interested in your best guess.)","strongly agree, agree, disagree, strongly disagree","0, 1, 2, 3"
messi_can_apr_2025,meaninglessguessb,meaningless_guess_b,others work meaninglessness guess,work attitudes,"How do you think most Canadian workers would respond to this statement... ""I feel that most of the things I do on my job are meaningless."" (Even if you're unsure, we're interested in your best guess.)","strongly agree, agree, disagree, strongly disagree","0, 1, 2, 3"
messi_can_may_2024,meaninglessguessa,meaningless_guess_a,perceived work meaningless agreement version a,work attitudes,"How do you think most Canadian workers would respond to this statement... ""I feel that most of the things I do on my job are meaningless."" (Even if you're unsure, we're interested in your best guess.)","Strongly agree, Agree, Disagree, Strongly disagree","0, 1, 2, 3"
messi_can_may_2024,meaninglessguessb,meaningless_guess_b,others work meaninglessness guess,work attitudes,"How do you think most Canadian workers would respond to this statement... ""I feel that most of the things I do on my job are meaningless."" (Even if you're unsure, we're interested in your best guess.)","Strongly agree, Agree, Disagree, Strongly disagree","0, 1, 2, 3"
messi_can_apr_2025,meaningfulguessa,meaning_guess_a,perceived work meaning agreement version a,work attitudes,"How do you think most Canadian workers would respond to this statement... ""I find my work to be very meaningful."" (Even if you're unsure, we're interested in your best guess.)","strongly agree, agree, disagree, strongly disagree","0, 1, 2, 3"
messi_can_apr_2025,meaningfulguessb,meaning_guess_b,others work meaningfulness guess,work attitudes,"How do you think most Canadian workers would respond to this statement... ""I find my work to be very meaningful."" (Even if you're unsure, we're interested in your best guess.)","strongly agree, agree, disagree, strongly disagree","0, 1, 2, 3"
messi_can_may_2024,meaningfulguessa,meaning_guess_a,perceived work meaning agreement version a,work attitudes,"How do you think most Canadian workers would respond to this statement... ""I find my work to be very meaningful."" (Even if you're unsure, we're interested in your best guess.)","Strongly agree, Agree, Disagree, Strongly disagree","0, 1, 2, 3"
messi_can_may_2024,meaningfulguessb,meaning_guess_b,others work meaningfulness guess,work attitudes,"How do you think most Canadian workers would respond to this statement... ""I find my work to be very meaningful."" (Even if you're unsure, we're interested in your best guess.)","Strongly agree, Agree, Disagree, Strongly disagree","0, 1, 2, 3"
cqwels_tlc_sep_2024,respectguess,respectguess,others workplace respect guess,job quality,"How do you think most Canadian workers would respond to this statement... 'At the place where I work, I am treated with respect.' (Even if you're unsure, we're interested in your best guess.)","Strongly agree, Agree, Disagree, Strongly disagree","0, 1, 2, 3"
cqwels_trends_sep_2025,protectlayoffguess,protectlayoff_guess,perceived layoff protection agreement,job quality,"How do you think most Canadian workers would respond to this statement... Employers have a duty to protect long-serving workers from layoffs. (Even if you're unsure, we're interested in your best guess). Most Canadian workers would probably say...","Strongly agree, Agree, Neither agree nor disagree, Disagree, Strongly disagree","0, 1, 2, 3, 4"
cqwels_tlc_sep_2024,stressguess,stress_guess,others work stress guess,"work attitudes, mental health","How do you think most Canadian workers would respond to this statement... 'How often do you find your work stressful?' (Even if you're unsure, we're interested in your best guess.)","Always, Often, Sometimes, Hardly ever, Never","0, 1, 2, 3, 4"
messi_can_may_2024,stressguess,stress_guess,others work stress guess,"work attitudes, mental health","How do you think most Canadian workers would respond to this statement... 'How often do you find your work stressful?' (Even if you're unsure, we're interested in your best guess.)","Always, Often, Sometimes, Hardly ever, Never","1, 2, 3, 4, 5"
messi_us_nov_2023,q33,stress_guess,others work stress guess,"work attitudes, mental health","How do you think most Canadian workers would respond to this statement... 'How often do you find your work stressful?' (Even if you're unsure, we're interested in your best guess.)","Always, Often, Sometimes, Hardly ever, Never","1, 2, 3, 4, 5"
cqwels_tlc_sep_2024,meaningfulguess,meaning_guess,others work meaningfulness guess,work attitudes,"How do you think most Canadian workers would respond to this statement... 'I find my work to be very meaningful.' (Even if you're unsure, we're interested in your best guess.)","Strongly agree, Agree, Disagree, Strongly disagree","0, 1, 2, 3"
cqwels_tlc_oct_2025,loyaltyguess,loyalty_guess,perceived worker loyalty agreement,work attitudes,"How do you think most Canadian workers would respond to this statement... These days, employers expect loyalty from workers but do not show loyalty to workers in return. (Even if you're unsure, we're interested in your best guess).","Strongly agree, Agree, Neither agree nor disagree, Disagree, Strongly disagree","0, 1, 2, 3, 4"
cqwels_trends_sep_2025,loyaltyguess,loyalty_guess,perceived worker loyalty agreement,work attitudes,"How do you think most Canadian workers would respond to this statement... These days, employers expect loyalty from workers but do not show loyalty to workers in return. (Even if you're unsure, we're interested in your best guess). Most Canadian workers would probably say...","Strongly agree, Agree, Neither agree nor disagree, Disagree, Strongly disagree","0, 1, 2, 3, 4"
qes_us_feb_2023,jobfind1,turn_ease,alternative job ease,job quality,How easy would it be for you to find a job with another employer with approximately the same income and fringe benefits as you have now?,"Very easy to find similar job, Somewhat easy to find similar job, Not easy at all to find similar job, Can’t choose, Prefer not to say","1, 2, 3, 4, 5"
cqwels_tlc_mar_2022,b8a,turn_ease,alternative job ease,job quality,How easy would it be for you to find a job with another employer with approximately the same income and fringe benefits as you have now?,"Not at all easy , Not too easy , Somewhat easy , Very easy , Not applicable","0, 1, 2, 3"
